id,name_it,group,unit,ref_qty,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,monounsat_g,polyunsat_g,transfat_g,omega3_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,vitc_mg,vita_ug,vitd_ug,b12_ug,folate_ug,confidence,note,plant,fermented,upf
lenticchie_secche,Lenticchie secche,legumi,g,100,353,25.8,60.1,2.0,30.5,1.1,0.15,0.22,0.5,0,0.1,6,955,56,7.5,122,4.8,4.5,1,0,0,479,medium,peso a crudo,lenticchia,0,0
ceci_secchi,Ceci secchi,legumi,g,100,378,20.5,62.9,10.7,12.2,6.0,0.60,1.2,2.7,0,0.10,24,875,57,4.3,79,3.4,4.0,3,0,0,557,medium,peso a crudo,cece,0,0
ceci_scatola,Ceci in scatola sgocciolati,legumi,g,100,139,7.1,22.8,4.0,6.4,2.6,0.27,0.52,1.17,0,0.04,240,172,45,1.6,30,1.1,1.0,1,0,0,51,medium,,cece,0,0
piselli_secchi,Piselli secchi spezzati,legumi,g,100,341,24.6,60.4,8.0,25.5,1.2,0.16,0.24,0.54,0,0.04,15,981,55,4.4,115,3.0,1.8,7,0,0,274,medium,peso a crudo,pisello,0,0
pasta_piselli,Pasta di piselli secca,legumi,g,100,350,24.0,50.0,4.0,12.0,4.0,0.50,0.8,1.8,0,0.10,20,700,60,5.0,100,3.0,0,0,0,0,120,low,varia molto per marca: controlla l'etichetta,pisello,0,1
soia_granulare,Soia granulare disidratata,legumi,g,100,330,50.0,33.0,7.0,18.0,1.5,0.25,0.3,0.68,0,0.10,20,2000,250,9.0,290,4.5,0,0,0,0,300,low,peso a secco; varia per marca,soia,0,1
tofu,Tofu al calcio,legumi,g,100,144,15.8,4.3,0.6,2.3,8.7,1.30,1.74,3.91,0,0.60,14,237,200,2.7,58,1.6,0.1,0,0,0,19,medium,coagulato al calcio,soia,0,0
fagioli_neri_scatola,Fagioli neri in scatola,legumi,g,100,91,6.0,16.6,0.3,6.4,0.3,0.08,0.06,0.14,0,0.05,238,355,27,1.8,40,0.8,0,0,0,0,60,medium,,fagiolo_nero,0,0
hummus,Hummus,legumi,g,100,166,7.9,14.3,0.3,6.0,9.6,1.40,1.92,4.32,0,0.10,379,228,38,2.4,71,1.8,0,1,0,0,83,medium,,cece,0,0
lupini,Lupini in salamoia sgocciolati,legumi,g,100,119,15.6,9.9,1.0,2.8,2.9,0.34,0.58,1.3,0,0.06,400,245,51,1.2,54,2.3,1.1,0,0,0,61,medium,USDA lupini lessi senza sale; sodio portato a 400 mg perche' quelli in salamoia si sciacquano ma non si desalano,lupino,0,0
